Category_Character;Category_Name;Group_Number;Group_Name;Disease;OMIM;OMIM.link;HPO.link;Gene;Function;Incidence;Artefact disclaimer;Metabolite;HMDB.code;HMDB.link;M/z;Isobaric_compounds;Isobaric_Compounds_Names;Biomarker_PathwayPosition_BodyFluid;Biomarker_PathwayPosition_BodyFluid_Weight;Change;Change_Weight;Importance;Importance_Weight;Total_Weight;Absolute_Weight;Dispensability;Zscore_Cutoff;Diagnosis_Blood
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenosine deaminase deficiency;102700;https://omim.org/entry/102700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:102700;"ADA; ADA2";Enzyme;Estimated 1:200,000-1:1.000,000;No possible artefacts to report;Adenosine;HMDB00050;http://www.hmdb.ca/metabolites/HMDB00050;267.2413;Yes;Deoxyguanosine;Substrate;3;Increase;1;Important influence;3;9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenosine deaminase deficiency;102700;https://omim.org/entry/102700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:102700;"ADA; ADA2";Enzyme;Estimated 1:200,000-1:1.000,000;No possible artefacts to report;Inosine;HMDB00195;http://www.hmdb.ca/metabolites/HMDB00195;268.2261;Yes;"Allopurinol riboside; Arabinosylhypoxanthine";Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenosine deaminase deficiency;102700;https://omim.org/entry/102700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:102700;"ADA; ADA2";Enzyme;Estimated 1:200,000-1:1.000,000;No possible artefacts to report;Adenosine;HMDB00050;http://www.hmdb.ca/metabolites/HMDB00050;267.2413;Yes;Deoxyguanosine;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenosine deaminase deficiency;102700;https://omim.org/entry/102700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:102700;"ADA; ADA2";Enzyme;Estimated 1:200,000-1:1.000,000;No possible artefacts to report;L-Methionine;HMDB00696;http://www.hmdb.ca/metabolites/HMDB00696;149.211;No;NA;CSF;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenosine deaminase deficiency;102700;https://omim.org/entry/102700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:102700;"ADA; ADA2";Enzyme;Estimated 1:200,000-1:1.000,000;No possible artefacts to report;Deoxyadenosine;HMDB00101;http://www.hmdb.ca/metabolites/HMDB00101;251.2419;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;SAICAR;HMDB00797;http://www.hmdb.ca/metabolites/HMDB00797;454.2833;No;NA;Substrate;3;Increase;1;Important influence;3;9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;Succinyladenosine;HMDB00912;http://www.hmdb.ca/metabolites/HMDB00912;383.3135;No;NA;CSF;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;Succinyladenosine;HMDB00912;http://www.hmdb.ca/metabolites/HMDB00912;383.3135;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;SAICAR;HMDB00797;http://www.hmdb.ca/metabolites/HMDB00797;454.2833;No;NA;CSF;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;SAICAR;HMDB00797;http://www.hmdb.ca/metabolites/HMDB00797;454.2833;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;AICAR;HMDB01517;http://www.hmdb.ca/metabolites/HMDB01517;338.2112;No;NA;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;Succinyladenosine;HMDB00912;http://www.hmdb.ca/metabolites/HMDB00912;383.3135;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenylosuccinate lyase deficiency;103050;https://omim.org/entry/103050;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:103050;ADSL;Enzyme;Estimated ~80 cases;No possible artefacts to report;SAICAR;HMDB00797;http://www.hmdb.ca/metabolites/HMDB00797;454.2833;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Hypoxanthine;HMDB00157;http://www.hmdb.ca/metabolites/HMDB00157;136.1115;No;NA;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Hypoxanthine;HMDB00157;http://www.hmdb.ca/metabolites/HMDB00157;136.1115;No;NA;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Inosine monophosphate;HMDB11681;http://www.hmdb.ca/metabolites/HMDB11681;348.206;Yes;Inosinic acid;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Hypoxanthine guanine phosphoribosyltransferase deficiency;300322;https://omim.org/entry/300322;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300322;HPRT1;Enzyme;Estimated 1:235.000-1:380,000;No possible artefacts to report;Folic acid;HMDB00121;http://www.hmdb.ca/metabolites/HMDB00121;441.3975;No;NA;Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Phosphoribosyl pyrophosphate synthetase superactivity;300661;https://omim.org/entry/300661;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300661;PRPS1;Enzyme;Estimated ~30 cases;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Phosphoribosyl pyrophosphate synthetase superactivity;300661;https://omim.org/entry/300661;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300661;PRPS1;Enzyme;Estimated ~30 cases;No possible artefacts to report;Ribose-5-phosphate;HMDB01548;http://www.hmdb.ca/metabolites/HMDB01548;230.1098;Yes;"Ribose-1-phosphate; Ribulose-5-phosphate; Xylulose-1-phosphate; Xylulose-5-phosphate; Beta-arabinose-1-phosphate; Arabinose-5-phosphate";Substrate;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Phosphoribosyl pyrophosphate synthetase superactivity;300661;https://omim.org/entry/300661;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300661;PRPS1;Enzyme;Estimated ~30 cases;No possible artefacts to report;Hypoxanthine;HMDB00157;http://www.hmdb.ca/metabolites/HMDB00157;136.1115;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Phosphoribosyl pyrophosphate synthetase superactivity;300661;https://omim.org/entry/300661;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300661;PRPS1;Enzyme;Estimated ~30 cases;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Phosphoribosyl pyrophosphate synthetase superactivity;300661;https://omim.org/entry/300661;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:300661;PRPS1;Enzyme;Estimated ~30 cases;No possible artefacts to report;Phosphoribosyl pyrophosphate;HMDB00280;http://www.hmdb.ca/metabolites/HMDB00280;390.0696;No;NA;Product;3;Increase;1;Supportive;1;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Inosine;HMDB00195;http://www.hmdb.ca/metabolites/HMDB00195;268.2261;Yes;"Allopurinol riboside; Arabinosylhypoxanthine";Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Guanosine;HMDB00133;http://www.hmdb.ca/metabolites/HMDB00133;283.2407;Yes;8-Hydroxy-Deoxyguanosine;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Inosine;HMDB00195;http://www.hmdb.ca/metabolites/HMDB00195;268.2261;Yes;"Allopurinol riboside; Arabinosylhypoxanthine";Plasma;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Guanosine;HMDB00133;http://www.hmdb.ca/metabolites/HMDB00133;283.2407;Yes;8-Hydroxy-Deoxyguanosine;Plasma;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Inosine;HMDB00195;http://www.hmdb.ca/metabolites/HMDB00195;268.2261;Yes;"Allopurinol riboside; Arabinosylhypoxanthine";Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Guanosine;HMDB00133;http://www.hmdb.ca/metabolites/HMDB00133;283.2407;Yes;8-Hydroxy-Deoxyguanosine;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Hypoxanthine;HMDB00157;http://www.hmdb.ca/metabolites/HMDB00157;136.1115;No;NA;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Guanine;HMDB00132;http://www.hmdb.ca/metabolites/HMDB00132;151.1261;Yes;"2-Hydroxyadenine; 8-Hydroxyadenine";Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Decrease;-1.5;Important influence;3;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Deoxyuridine;HMDB00012;http://www.hmdb.ca/metabolites/HMDB00012;228.202;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Purine nucleoside phosphorylase deficiency;613179;https://omim.org/entry/613179;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:613179;PNP;Enzyme;Estimated ~70 cases;No possible artefacts to report;Deoxyguanosine;HMDB00085;http://www.hmdb.ca/metabolites/HMDB00085;267.2413;Yes;Adenosine;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Xanthine;HMDB00292;http://www.hmdb.ca/metabolites/HMDB00292;152.1109;Yes;6,8-Dihydroxypurine;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Product;3;Decrease;-1.5;Important influence;3;-13.5;13.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Xanthine;HMDB00292;http://www.hmdb.ca/metabolites/HMDB00292;152.1109;Yes;6,8-Dihydroxypurine;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Decrease;-1.5;Important influence;3;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;Hypoxanthine;HMDB00157;http://www.hmdb.ca/metabolites/HMDB00157;136.1115;No;NA;Substrate;3;Increase;1;Supportive;1;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;5-Hydroxyisourate;HMDB30097;http://www.hmdb.ca/metabolites/HMDB30097;184.1097;No;NA;Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Xanthinuria type I;278300;https://omim.org/entry/278300;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:278300;XDH;Enzyme;Estimated 1:6.000-1:69.000;No possible artefacts to report;5-Hydroxyisourate;HMDB30097;http://www.hmdb.ca/metabolites/HMDB30097;184.1097;No;NA;Urine;1;Decrease;-1.5;Supportive;1;-1.5;1.5;Dispensable;;Yes
